id,type_of_property,subtype_of_property,locality,price,type_of_sale,rooms,condition,equipped_kitchen,furnished,terrace,garden,open_fire,hasSwimmingPool,living_area_m2,surface_of_land_m2,number_frontage
9259277,house,apartment block,4000,189000,private,3,to be done up,semi equipped,0,,143,,False,140,192,3
9258364,house,house,4537,419000,private,5,,,0,,,,False,,2015,4
9257072,house,mansion,4300,300000,private,3,good,installed,0,,270,,False,165,440,4
9256386,house,house,4032,90000,public,3,to be done up,,,16,56,,False,162,138,2
9255787,house,house,4000,289000,private,2,good,installed,0,30,,,False,160,327,2
9255332,house,house,4770,220000,private,6,,semi equipped,,,,,False,386,1250,4
9254739,house,house,4870,214000,private,3,to renovate,not installed,0,25,40,,False,180,215,3
9129586,house,house,4800,140000,private,6,to be done up,,,15,,,False,180,115,2
9253748,house,house,4130,125000,private,4,to renovate,installed,0,,,,False,155,0,3
9253217,house,house,4400,185000,private,3,good,semi equipped,,,,,False,115,0,3
9252700,house,house,4500,525000,private,6,as new,hyper equipped,0,20,517,,False,417,940,3
9251844,house,house,4460,150000,private,3,to renovate,,,13,305,,False,183,393,2
8966267,house,house,4100,149000,private,4,to be done up,semi equipped,0,,,,False,,147,2
9251144,house,town house,4030,147000,private,2,good,installed,,,,,False,125,179,2
9250407,house,villa,4350,349500,private,3,as new,hyper equipped,,45,3400,,False,190,3728,3
9249904,house,house,4020,159500,private,3,good,installed,0,,,,False,130,50,2
9249427,house,apartment block,4020,159000,private,9,to restore,,,,,,False,350,107,2
9248855,house,house,4520,259000,private,2,good,hyper equipped,0,,,,False,187,780,3
9247324,house,house,4801,175000,private,4,to renovate,not installed,,,1100,2,False,207,1632,3
9246863,house,mixed use building,4920,215000,private,5,to renovate,semi equipped,0,117,,,False,208,209,3
9119958,house,house,4430,190000,private,5,good,,,,,,False,,85,2
9244232,house,house,4920,255000,private,3,as new,hyper equipped,0,,,,False,102,356,3
9242655,house,house,4347,229000,private,2,good,installed,,15,,,False,149,526,2
9241702,house,house,4570,359000,private,3,,hyper equipped,,,,,False,170,1880,4
9241420,house,house,4500,205000,private,3,,not installed,,15,50,,False,126,0,2
9241097,house,mixed use building,4420,199000,private,3,as new,installed,,12,75,,False,160,191,2
9240777,house,country cottage,4970,545000,private,4,as new,hyper equipped,,30,1500,,True,390,2100,4
9238191,house,villa,4122,270000,private,3,to be done up,,,,,,False,175,1325,4
9239511,house,house,4041,240000,private,2,as new,installed,,,,1,False,80,592,3
9238736,house,house,4020,254500,private,3,good,installed,0,,,,False,165,0,3
9238103,house,house,4720,340000,private,3,as new,installed,,30,600,,False,143,675,4
9236585,house,house,4040,179900,private,3,as new,,0,9,80,,False,103,168,2
9235655,house,house,4210,315000,private,2,good,installed,,50,,,False,165,2272,3
9235220,house,house,4000,70000,public,3,,,,,,,False,,116,2
9234661,house,house,4682,290000,private,4,to renovate,semi equipped,0,115,9380,,False,224,0,3
9233986,house,house,4000,340000,private,4,as new,usa installed,,,,,False,239,737,4
9163786,house,house,4500,380000,private,3,as new,installed,1,,,,False,152,1429,4
9232657,house,house,4030,114990,private,2,to renovate,,0,,50,,False,90,0,3
9232180,house,house,4602,99000,private,3,,semi equipped,0,,58,,False,103,120,3
9231685,house,castle,4608,495000,private,5,to be done up,,,,,,False,295,1124,2
9230738,house,house,4800,135000,private,5,to renovate,not installed,,1,222,,False,149,297,3
9230053,house,apartment block,4801,245000,private,6,good,hyper equipped,0,25,140,,False,206,323,2
9229377,house,town house,4460,199000,private,3,just renovated,installed,0,,,1,False,109,331,3
9228448,house,house,4682,295000,private,3,,,,,,,False,165,734,2
9227336,house,house,4460,95000,public,3,to be done up,,,,,,False,120,673,3
9226653,house,house,4000,88000,public,3,good,,,,,,False,176,86,2
9226356,house,house,4557,99000,private,1,to renovate,not installed,,,,,False,,0,4
9109321,house,house,4400,220000,private,4,good,semi equipped,,,200,,False,137,418,3
9224617,house,house,4530,289000,private,7,to be done up,semi equipped,0,,1000,,False,300,0,4
9224238,house,town house,4620,245000,private,3,to be done up,installed,,,,,False,120,529,4
9222800,house,house,4430,179900,private,2,,installed,,,,,False,130,183,4
9222004,house,house,4050,225000,private,4,,hyper equipped,0,,,,False,130,2100,4
9071874,house,apartment block,4031,199995,private,3,to be done up,,,,,,False,,0,3
9219890,house,house,4040,119000,private,2,to be done up,not installed,,,62,,False,97,123,3
9218723,house,house,4420,70000,public,5,to be done up,,,,,,False,,1122,4
9218059,house,house,4317,265000,private,3,as new,installed,0,,350,,False,130,465,3
9217450,house,mixed use building,4500,215000,private,1,as new,semi equipped,0,,,,False,78,36,2
8927366,house,house,4040,170000,private,3,,installed,0,,200,,False,175,406,2
9214925,house,mixed use building,4000,495000,private,2,good,installed,0,,,,False,232,0,3
9213647,house,exceptional property,4257,650000,private,5,as new,usa hyper equipped,,,,,False,260,1737,4
9005181,house,house,4130,590000,private,4,good,semi equipped,0,,1500,,False,200,8400,4
9211719,house,town house,4400,199000,private,2,good,installed,0,70,,,False,136,0,2
9211010,house,house,4452,210000,private,4,to be done up,,,,483,,False,180,672,3
9210077,house,house,4550,310000,private,3,,hyper equipped,,,350,,False,216,640,3
9193255,house,house,4750,299000,private,3,as new,,1,,,,False,252,2151,4
9208943,house,house,4470,235000,private,3,to be done up,,0,,,,False,180,582,4
9208419,house,house,4480,95000,private,3,to renovate,,,,,,False,,0,3
9207481,house,mixed use building,4731,275000,private,2,to be done up,,,,,,False,140,162,2
9205993,house,house,4990,245000,private,3,,not installed,0,,,,False,123,0,3
9205112,house,house,4680,315000,private,3,as new,hyper equipped,,,352,,False,180,500,3
8421873,house,house,4020,149000,private,3,just renovated,semi equipped,0,,,,False,100,47,2
8829698,house,villa,4000,425000,private,5,good,hyper equipped,,,,,False,239,0,4
9200599,house,house,4040,70000,public,3,,,,,,,False,,0,2
9200352,house,house,4800,270885,private,3,,,,,,,False,,254,3
9198528,house,house,4500,150000,private,5,good,semi equipped,0,16,,,False,232,220,2
9197814,house,house,4032,210000,private,3,as new,installed,,7,,,False,116,60,2
9195638,house,house,4420,184500,private,3,good,hyper equipped,0,52,800,,False,160,980,3
9194879,house,house,4020,335000,private,2,to be done up,installed,0,25,2000,,False,235,3555,4
9193993,house,house,4530,199000,private,2,,,,,,,False,,2310,4
9193375,house,farmhouse,4860,875000,private,3,just renovated,installed,0,,,,True,250,9203,4
9192897,house,house,4960,230000,private,3,good,installed,0,8,,,False,207,215,2
9191602,house,house,4140,90000,private,2,to renovate,,,,,,False,,103,3
9190796,house,house,4430,160000,private,3,to be done up,installed,0,,66,,False,102,110,2
9189649,house,house,4350,260000,private,3,,,0,,,,False,,377,3
9187645,house,house,4032,225000,private,3,good,installed,0,,,,False,142,0,2
9186755,house,house,4000,230000,private,1,to renovate,,,,,,False,,196,2
9186332,house,house,4602,105000,private,2,good,,,,,,False,90,71,2
9185285,house,bungalow,4180,290000,private,2,as new,installed,,36,,,False,110,1039,4
9129216,house,house,4000,110000,private,4,to renovate,not installed,,,,,False,109,60,3
9182932,house,house,4420,219900,private,5,just renovated,usa semi equipped,,84,,,False,175,0,2
9182011,house,apartment block,4000,200000,private,4,,,,,,,False,115,50,2
9181029,house,house,4040,140000,private,1,good,installed,,7,167,,False,80,248,2
9138153,house,house,4720,270000,private,4,as new,hyper equipped,0,18,,,False,169,210,3
9179228,house,house,4420,149000,private,2,good,semi equipped,0,13,,,False,90,85,2
9177552,house,house,4671,195000,private,3,just renovated,installed,,,,,False,,155,3
9177013,house,house,4630,159000,private,2,good,semi equipped,,,,,False,106,51,2
9175652,house,house,4400,145000,private,3,,,,39,170,,False,147,326,3
9173233,house,house,4870,295000,private,4,as new,,,,400,,False,113,573,2
9171794,house,farmhouse,4400,750000,private,8,just renovated,installed,0,,,2,True,687,5100,4
9170565,house,house,4430,75000,private,5,to restore,,0,6,,,False,168,85,2
9169492,house,exceptional property,4500,440000,private,8,,,,,591,,False,466,761,3
9167437,house,house,4300,279600,private,3,,,0,,450,,False,160,539,3
9165230,house,house,4040,145000,private,3,good,installed,,,,,False,85,166,2
9163670,house,bungalow,4610,215000,private,2,good,installed,0,,,,False,82,495,4
9163021,house,house,4051,210000,private,2,good,hyper equipped,0,48,16,,False,110,210,2
9162007,house,house,4257,295000,private,3,as new,hyper equipped,0,20,234,,False,122,310,3
9161726,house,house,4850,328144,private,4,as new,hyper equipped,0,27,,,False,169,551,3
9161272,house,house,4460,177000,private,3,good,usa semi equipped,,,180,,False,120,250,2
9159650,house,house,4840,259000,private,3,,not installed,0,,,,False,130,198,2
9157790,house,house,4257,234371,private,3,,,0,,,,False,140,800,3
9155703,house,house,4317,278000,private,3,,not installed,,,,,False,,600,3
9155123,house,house,4870,89000,private,1,to be done up,semi equipped,0,,,,False,34,0,2
9153843,house,farmhouse,4990,225000,private,4,to renovate,semi equipped,,,,,False,,655,4
