id,type_of_property,subtype_of_property,locality,price,type_of_sale,rooms,condition,equipped_kitchen,furnished,terrace,garden,open_fire,hasSwimmingPool,living_area_m2,surface_of_land_m2,number_frontage
8704411,house,house,4100,215000,private,4,to renovate,,0,30,348,,False,185,724,4
8012607,house,mixed use building,4101,165000,private,4,to be done up,,0,,,,False,,0,2
8661918,house,house,4800,180000,private,5,good,installed,0,10,122,,False,200,215,2
8634246,house,apartment block,4800,265000,private,3,to renovate,semi equipped,0,44,,,False,401,150,2
8602961,house,mixed use building,4630,299000,private,3,to be done up,semi equipped,,24,286,,False,270,550,3
8552396,house,house,4860,120000,private,3,,,,,,,False,,303,3
8544608,house,house,4880,690000,private,3,as new,,,,,,False,,931,4
8447890,house,house,4100,150000,private,2,,,,,,,False,,250,2
8365287,house,villa,4652,100000,private,3,,,,,,,False,,0,4
8278963,house,house,4130,492000,private,5,,,0,90,,,False,256,2162,4
8203842,house,villa,4800,550000,private,3,as new,,,,2154,,False,230,2414,4
7865038,house,apartment block,4040,229000,private,2,,installed,0,,,,False,194,0,4
7758907,house,house,4300,272000,private,3,,,,,,,False,,1299,4
9315471,house,house,1370,695000,private,4,good,installed,,,,1,False,250,16800,4
9314316,house,villa,1357,375000,private,3,as new,hyper equipped,0,30,,1,False,201,550,3
9313746,house,villa,1325,290000,private,5,to renovate,not installed,0,,733,,False,185,733,4
9311515,house,house,1300,599000,private,4,as new,usa hyper equipped,0,,600,,False,220,735,4
9310910,house,house,1410,500000,private,3,as new,hyper equipped,0,,506,1,False,180,580,3
9309919,house,villa,1380,880000,private,4,,hyper equipped,,,,,False,280,2300,4
9309279,house,house,1400,395000,private,5,as new,usa installed,,40,750,,False,185,760,2
9308325,house,house,1435,180000,public,3,to be done up,,,,,,False,286,506,4
9307373,house,house,1350,100000,public,3,to renovate,installed,,,2416,,False,80,2416,4
9306219,house,house,1390,580000,private,4,good,hyper equipped,,20,1345,1,False,258,1345,3
9305630,house,villa,1420,565501,private,4,,,,,,,False,225,1107,4
9305064,house,house,1420,475000,private,4,good,usa hyper equipped,,43,247,,False,230,480,3
9303872,house,apartment block,1480,235000,private,2,,installed,0,30,50,,False,180,270,2
9302204,house,house,1390,350000,private,4,good,hyper equipped,,,,,False,129,543,3
9301279,house,house,1420,595000,private,5,as new,,0,,,1,False,161,749,4
9300611,house,house,1320,350000,private,3,to be done up,semi equipped,0,15,,,False,108,876,4
9299276,house,villa,1325,513100,private,4,,hyper equipped,0,29,1189,,False,250,1189,4
9298285,house,villa,1435,425000,private,5,good,installed,0,,,,False,156,761,4
9297263,house,house,1480,250000,private,3,good,installed,0,8,,,False,150,200,2
9296016,house,villa,1380,950000,private,4,,hyper equipped,,20,,1,False,275,2200,4
9292175,house,house,1348,550000,private,4,as new,hyper equipped,,15,124,,False,170,201,2
9291660,house,villa,1480,585000,private,4,,usa hyper equipped,0,,,,False,228,1110,4
9290092,house,house,1420,455800,private,3,as new,hyper equipped,0,20,180,,False,202,20000,4
9289147,house,villa,1410,580000,private,4,to be done up,installed,0,,,1,False,180,859,4
9288195,house,house,1435,370000,private,3,as new,installed,0,,,,False,,150,3
9286118,house,house,1450,415000,private,3,as new,hyper equipped,0,,600,,False,170,834,3
9284662,house,house,1470,320000,private,4,as new,hyper equipped,,,,,False,230,0,3
9283036,house,house,1480,230000,private,3,,installed,,40,,,False,111,161,2
9281081,house,house,1430,199000,private,4,to be done up,,0,,,,False,154,0,2
9279416,house,house,1480,195000,private,5,to renovate,not installed,0,,13,,False,152,179,3
9277925,house,house,1450,379950,private,4,good,,0,,,,False,225,1087,4
9276506,house,apartment block,1300,370000,private,2,good,hyper equipped,,,,,False,160,0,2
9274599,house,mixed use building,1480,500000,private,1700,to renovate,installed,0,,,,False,,390,2
9272429,house,bungalow,1400,40000,private,3,good,installed,0,,258,,False,168,602,4
9271439,house,house,1460,220000,private,3,good,installed,,,,,False,,840,3
9269775,house,apartment block,1430,550000,private,4,as new,hyper equipped,0,40,500,,False,540,926,2
